split,layer,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,log_loss_mean,log_loss_std,brier_mean,brier_std,roc_auc_mean,roc_auc_std
problem,23,0.9363425925925926,0.009002516890106449,0.9361403204044427,0.008907186921977719,0.19095118895364346,0.022301758600958805,0.049666826164120076,0.004563863838076953,0.9798169628530233,0.005578742625926195
problem,24,0.930324074074074,0.009523149273483453,0.9292441440979943,0.008018738538678962,0.21348816458235453,0.024215699633219876,0.05586871917746038,0.004322536557307512,0.9759156446550976,0.00874928301650056
problem,25,0.930787037037037,0.01161451268916861,0.9295168853527725,0.01132151413602463,0.21532819916848617,0.02492881565348286,0.05598782744071086,0.0037481027764589875,0.9750062774881704,0.007582449509629245
problem,26,0.9337962962962962,0.01480848389033515,0.9326894250646915,0.014115118802228216,0.21777476908597054,0.028715072400206505,0.055762656731983086,0.00436580279379235,0.9748229483743712,0.008427914518254831
problem,27,0.9337962962962963,0.008281733249999193,0.9323221618897778,0.007977183460686571,0.21963703835143317,0.026709587970956725,0.05715392368554062,0.004577766861299061,0.9747164374123111,0.007522065133839565
problem,28,0.9226851851851852,0.014534567199954274,0.9207498759776737,0.01429980374134434,0.2378483500155509,0.019909935241226407,0.0642515610319052,0.006148582901357685,0.9702862038938612,0.009250793893962715
problem,29,0.9402777777777779,0.00963502564271637,0.939479840662454,0.009030796082328497,0.20769052804203186,0.028248542923726208,0.0542799193741463,0.008295652360989633,0.9782060991049599,0.009904030587890073
problem,30,0.9368055555555556,0.010241584169272675,0.935361580535625,0.011081719199902315,0.20517475335851137,0.030534307199170753,0.0538082742837078,0.008502093827978318,0.9778763652106541,0.010352194536525134
problem,31,0.9398148148148149,0.006232829637887159,0.938438805422086,0.005205453176767359,0.1948254939341439,0.02470667688572979,0.05076661958178765,0.006134744592545976,0.980767696283498,0.0066485580186676965
problem,32,0.9349537037037038,0.00973186250443416,0.9328911355977823,0.007432453262540667,0.20078937051172252,0.022958245700346047,0.05378045511764105,0.006538564851133651,0.9782550429672645,0.0068169250475272935
