persona,progress,dimension,mean_centered_delta,sem_centered_delta
Risk-Averse,0.25,maximum_gain,0.06381692556508851,0.013877406167596482
Risk-Averse,0.25,maximum_loss,0.007907160543115407,0.010694562920388813
Risk-Averse,0.25,minimum_gain,0.03755464699746066,0.015298288583333557
Risk-Averse,0.25,minimum_loss,-0.025899615551911302,0.012618476518427402
Risk-Averse,0.25,probability_maximum_gain,-0.0017698025042521264,0.010317669951395925
Risk-Averse,0.25,probability_maximum_loss,-0.03482166893291016,0.012792093583774944
Risk-Averse,0.25,probability_minimum_gain,0.021043547888572007,0.01401413775380982
Risk-Averse,0.25,probability_minimum_loss,-0.048011334459863775,0.011908733204531074
Risk-Averse,0.25,probability_two_largest_gains,0.045587887426261894,0.009027203127718094
Risk-Averse,0.25,sum_two_largest_gains,0.06155446058272475,0.009639340825800105
Risk-Averse,0.5,entropy,-0.0844516836526769,0.011554206162183759
Risk-Averse,0.5,expected_value,0.017222308232799702,0.013626521435060822
Risk-Averse,0.5,maximum_gain,-0.009344223499495615,0.012764473821613827
Risk-Averse,0.5,maximum_loss,0.04082204028182749,0.011965338291452583
Risk-Averse,0.5,minimum_gain,-0.028289748690811405,0.012968576211581935
Risk-Averse,0.5,minimum_loss,0.04206775377312697,0.012063380105429157
Risk-Averse,0.5,probability_maximum_gain,-0.01707416107550073,0.012212475940394372
Risk-Averse,0.5,probability_maximum_loss,-0.022732253874639254,0.01322987629394202
Risk-Averse,0.5,probability_minimum_gain,0.021025356375497076,0.01611371091140005
Risk-Averse,0.5,probability_minimum_loss,-0.018981421919926907,0.011597624624474143
Risk-Averse,0.5,probability_two_largest_gains,0.0065646865995215645,0.010262478300384069
Risk-Averse,0.5,sum_two_largest_gains,0.010270824812086984,0.00965912403909294
Risk-Averse,0.75,entropy,-0.012564337897186388,0.010776170839223298
Risk-Averse,0.75,expected_value,-0.0060701512186896985,0.013217880756553843
Risk-Averse,0.75,maximum_gain,-0.016778744833599046,0.012619217589401956
Risk-Averse,0.75,maximum_loss,-0.009211671425418481,0.011219799884700685
Risk-Averse,0.75,minimum_gain,-0.04254099222952228,0.011733486760492667
Risk-Averse,0.75,minimum_loss,0.01891012134616484,0.010572308012013207
Risk-Averse,0.75,probability_maximum_gain,-0.005460678700480262,0.012143107654825248
Risk-Averse,0.75,probability_maximum_loss,-0.013182736747383041,0.011413793947843406
